"Year","Sim.num","Catch","Trips"
2003,"1",11952224.651816,2522984.11521829
2003,"2",7574979.96294531,2432922.42582189
2003,"3",13530273.3881472,2397482.65527374
2003,"4",14726888.3905228,2420826.65779111
2003,"5",9040628.48152697,2485573.78056192
2003,"6",8152401.81765531,2248966.75308846
2003,"7",16160696.8506069,2272243.79459363
2003,"8",9611141.81694923,2393119.58123487
2003,"9",11654208.0587007,2284502.8381747
2003,"10",10612934.037066,2287624.39031313
2003,"11",6471189.08216746,2361663.27918729
2003,"12",15945557.6282439,2313899.07075295
2003,"13",7202989.13948813,2312810.56656259
2003,"14",18270387.8080521,2674407.66076411
2003,"15",7267963.68152518,2503861.9371879
2003,"16",18317318.626537,2218179.89872962
2003,"17",11309876.076583,2548817.91096665
2003,"18",12956916.0095994,2212302.51358392
2003,"19",13068367.3862394,2284682.98152898
2003,"20",13883665.4874249,2438207.27479098
2003,"21",9331137.75723504,2438915.66980998
2003,"22",9767739.62606983,2364769.8594466
2003,"23",9461968.51065141,2322624.90279301
2003,"24",15742004.5928887,2434340.47087806
2003,"25",1815510.52713295,2590926.10908283
2003,"26",13904171.0395293,2523284.95535804
2003,"27",12289576.5340492,2249651.62641193
2003,"28",2318877.9511588,2487592.74501422
2003,"29",14536008.0083147,2489911.89161349
2003,"30",15209504.862624,2541873.51384913
2003,"31",6402005.59999651,2191486.06613393
2003,"32",10280506.9632471,2476505.8284285
2003,"33",13634772.2812047,2535426.96686663
2003,"34",13622411.8970124,2483533.04220919
2003,"35",13790677.389451,2426630.57753969
2003,"36",15221557.3130413,2536309.89316764
2003,"37",3285095.36926059,2498565.56571759
2003,"38",14991405.6739096,2459101.1357168
2003,"39",14258868.4683899,2603912.3366687
2003,"40",11857014.9705794,2250342.11986247
2003,"41",13199755.5949196,2373139.07207479
2003,"42",3509822.15081085,2544302.0028758
2003,"43",13783843.7392867,2552567.70831531
2003,"44",14624598.2734604,2414698.9013069
2003,"45",11068671.5845945,2443412.08868954
2003,"46",14928617.8586968,2512274.25714495
2003,"47",7375149.05269239,2408458.37009939
2003,"48",12523288.41913,2341479.98052691
2003,"49",11145901.1280357,2435522.36907826
2003,"50",11851522.303396,2475565.96518719
2003,"51",12270009.3959386,2644762.19205796
2003,"52",15528488.8907737,2261289.79980467
2003,"53",14900937.7472919,2298172.15277657
2003,"54",10988082.3720612,2388420.6909658
2003,"55",14473009.9760254,2443622.23586479
2003,"56",14743444.4471311,2513612.89996523
2003,"57",14344134.5267544,2376400.68961324
2003,"58",10562583.3924661,2356998.11578089
2003,"59",11002454.7944494,2288274.55236551
2003,"60",7556705.0312298,2374604.27820223
2003,"61",8984830.44133681,2594661.48098442
2003,"62",16264347.3437601,2573199.58903641
2003,"63",12555732.6579841,2475801.51827389
2003,"64",11526415.2809295,2255024.71077209
2003,"65",4077838.69760072,2410021.88768946
2003,"66",1710597.67865283,2453727.00563552
2003,"67",17457524.7151623,2420146.61213907
2003,"68",5430361.65674679,2487370.38718563
2003,"69",13632549.6524939,2439431.67161241
2003,"70",4450117.38543676,2294465.69694634
2003,"71",14772419.9034797,2521588.94155138
2003,"72",7718192.16495056,2477416.41482058
2003,"73",10053401.8029233,2438258.78120441
2003,"74",18359726.9534641,2428245.70148078
2003,"75",14566732.6478914,2469679.8162628
2003,"76",14025771.6499877,2304684.06743999
2003,"77",14529366.140975,2327262.24514636
2003,"78",6859683.49453418,2304145.42042397
2003,"79",4513202.56924034,2241172.91273118
2003,"80",11207015.3823015,2417389.86086174
2003,"81",13645665.6018253,2335641.93022742
2003,"82",13780060.5129145,2399477.57701546
2003,"83",11740522.2591834,2431827.63802975
2003,"84",10671586.0710578,2378524.3641073
2003,"85",6266463.78282011,2322173.9065575
2003,"86",11983968.0317741,2435584.73594852
2003,"87",14782630.7411816,2274225.39895364
2003,"88",8369387.75333196,2367571.63512929
