"Sector","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Seaf Wholesale",2001,20.8670474981248,1.20265985641216,NA,NA,NA,NA
"Seaf Wholesale",2001.03607214429,20.8755896664598,1.19353793666896,NA,NA,NA,NA
"Seaf Wholesale",2001.07214428858,20.8841320537547,1.18448819984625,NA,NA,NA,NA
"Seaf Wholesale",2001.10821643287,20.8926748789689,1.17551289017329,NA,NA,NA,NA
"Seaf Wholesale",2001.14428857715,20.9012183610623,1.16661416218175,NA,NA,NA,NA
"Seaf Wholesale",2001.18036072144,20.9097627189945,1.15779407658225,NA,NA,NA,NA
"Seaf Wholesale",2001.21643286573,20.9183081717254,1.14905459630787,NA,NA,NA,NA
"Seaf Wholesale",2001.25250501002,20.9268549382145,1.14039758274717,NA,NA,NA,NA
"Seaf Wholesale",2001.28857715431,20.9354032374216,1.13182479218703,NA,NA,NA,NA
"Seaf Wholesale",2001.3246492986,20.9439532883065,1.12333787248942,NA,NA,NA,NA
"Seaf Wholesale",2001.36072144289,20.9525053098288,1.11493836002541,NA,NA,NA,NA
"Seaf Wholesale",2001.39679358717,20.9610595209483,1.10662767689046,NA,NA,NA,NA
"Seaf Wholesale",2001.43286573146,20.9696161406247,1.09840712842774,NA,NA,NA,NA
"Seaf Wholesale",2001.46893787575,20.9781753878176,1.09027790108386,NA,NA,NA,NA
"Seaf Wholesale",2001.50501002004,20.9867374814869,1.08224106062494,NA,NA,NA,NA
"Seaf Wholesale",2001.54108216433,20.9953026405922,1.07429755073964,NA,NA,NA,NA
"Seaf Wholesale",2001.57715430862,21.0038710840933,1.06644819205584,NA,NA,NA,NA
"Seaf Wholesale",2001.61322645291,21.0124430309499,1.05869368160015,NA,NA,NA,NA
"Seaf Wholesale",2001.64929859719,21.0210187001216,1.05103459272622,NA,NA,NA,NA
"Seaf Wholesale",2001.68537074148,21.0295983105682,1.0434713755413,NA,NA,NA,NA
"Seaf Wholesale",2001.72144288577,21.0381820812494,1.03600435785717,NA,NA,NA,NA
"Seaf Wholesale",2001.75751503006,21.046770231125,1.02863374669401,NA,NA,NA,NA
"Seaf Wholesale",2001.79358717435,21.0553629791546,1.02135963036373,NA,NA,NA,NA
"Seaf Wholesale",2001.82965931864,21.063960544298,1.01418198115895,NA,NA,NA,NA
"Seaf Wholesale",2001.86573146293,21.0725631455149,1.00710065867474,NA,NA,NA,NA
"Seaf Wholesale",2001.90180360721,21.0811710017649,1.00011541378711,NA,NA,NA,NA
"Seaf Wholesale",2001.9378757515,21.0897843320079,0.993225893314,NA,NA,NA,NA
"Seaf Wholesale",2001.97394789579,21.0984033552035,0.986431645382131,NA,NA,NA,NA
"Seaf Wholesale",2002.01002004008,21.1070282940909,0.979732126990656,NA,NA,NA,NA
"Seaf Wholesale",2002.04609218437,21.1156597241681,0.97312685092081,NA,NA,NA,NA
"Seaf Wholesale",2002.08216432866,21.1242988559717,0.966615529591294,NA,NA,NA,NA
"Seaf Wholesale",2002.11823647295,21.1329469664658,0.960197873366667,NA,NA,NA,NA
"Seaf Wholesale",2002.15430861723,21.1416053326144,0.953873565234922,NA,NA,NA,NA
"Seaf Wholesale",2002.19038076152,21.150275231382,0.947642260548388,NA,NA,NA,NA
"Seaf Wholesale",2002.22645290581,21.1589579397324,0.941503586883426,NA,NA,NA,NA
"Seaf Wholesale",2002.2625250501,21.16765473463,0.935457144024114,NA,NA,NA,NA
"Seaf Wholesale",2002.29859719439,21.1763668930388,0.929502504076359,NA,NA,NA,NA
"Seaf Wholesale",2002.33466933868,21.185095691923,0.923639211716697,NA,NA,NA,NA
"Seaf Wholesale",2002.37074148297,21.1938424082468,0.917866784581942,NA,NA,NA,NA
"Seaf Wholesale",2002.40681362725,21.2026083189743,0.912184713804492,NA,NA,NA,NA
"Seaf Wholesale",2002.44288577154,21.2113947010697,0.906592464697831,NA,NA,NA,NA
"Seaf Wholesale",2002.47895791583,21.220202831497,0.901089477597972,NA,NA,NA,NA
"Seaf Wholesale",2002.51503006012,21.2290339872207,0.895675168864312,NA,NA,NA,NA
"Seaf Wholesale",2002.55110220441,21.2378894452045,0.890348932045385,NA,NA,NA,NA
"Seaf Wholesale",2002.5871743487,21.2467704824129,0.885110139212637,NA,NA,NA,NA
"Seaf Wholesale",2002.62324649299,21.2556783758099,0.879958142466953,NA,NA,NA,NA
