"Year","Annual.Pay","Establishments","Total.Employment","Total.Wages.Millions","Browsers","Grazers","Scrapers","Predators","SecConsumers","Coral","Macro","Other","Turf","CCA","Herbivores","Calcifiers","Algae"
2002,27535.5,85,42897,1161.471,3.90105356585714,8.61038271752381,3.63133235342857,2.05082879985714,12.953819610381,10.1865306128571,17.9442630387619,19.9721541954762,49.0212698414286,2.45038548752381,16.1427686368095,12.636916100381,66.9655328801905
2003,27858.5,87,44701,1188.048,3.80461421973913,9.9848738863913,2.99850630278261,0.666666530956522,16.8461260481739,6.54724637682609,6.64347826073913,9.36463768117391,68.8243478256522,8.50608695634783,16.787994408913,15.0533333331739,75.4678260863913
2004,30421.5,79,38428,1063.611,3.08379351433333,16.4559118338095,6.07665411911905,8.57166239795238,42.3414909358095,31.706658844619,1.35918716804762,1.7414416332619,51.2338035721429,11.6760067315,25.6163594672619,43.382665576119,52.5929907401905
2005,30465.5,72,33676,931.26,2.86832397644444,17.0068532284444,7.23611648588889,6.91387661611111,58.7305728147778,15.7777777782222,4.38034187977778,5.63532763633333,60.6737891766667,10.1111111108889,27.1112936907778,25.8888888891111,65.0541310564444
2006,31627,67,29767,895.444,10.7096649976535,17.7394260120099,7.34564770661386,3.70834062440594,28.3478474612772,19.6288372138713,8.05509194888119,14.2047620463069,45.3281960542772,10.310452534297,35.7947387162772,29.9392897481683,53.3832880031584
2007,33189.5,68,30599,1027.935,9.1027741787094,14.5143447036838,8.62764218694017,5.32460077759829,27.7468802613162,22.9951276610513,8.10278931482051,8.82673442730769,48.1898757668376,9.01687952855556,32.2447610693333,32.0120071896068,56.2926650816581
2008,32089.5,68,31714,1020.244,13.5206851692264,29.0196578700943,14.0663955507358,5.15870462120755,27.6279775341887,25.3858339043962,10.6274269256038,16.2309952949245,41.1441848105094,4.38517120609434,56.6067385900566,29.7710051104906,51.7716117361132
2009,31781.5,71,31122,989.612,19.5342229824054,13.3608456159189,12.7952485781892,14.0722222444054,48.4316378316216,19.9706326524054,10.310686633027,30.7689219692973,34.8005866112973,2.66180371837838,45.6903171765135,22.6324363707838,45.1112732443243
2010,32069,71,31445,1018.603,9.891141941125,16.8244578350179,14.9722823989464,6.30156688544643,24.1262318363036,17.295753908375,10.8214719318036,6.03846460967857,57.2528010185714,5.88187129928571,41.6878821750893,23.1776252076607,68.074272950375
2011,32162.5,76,34552,1132.68,21.3157456219467,13.0833370533333,12.08197191004,6.03632706148,28.93117262956,25.5855648557333,5.73265001008,4.62710941216,56.0596893105333,5.28532968418667,46.48105458532,30.87089453992,61.7923393206133
2012,32463,75,35646,1210.764,21.8461370936739,16.2017145528043,14.3924765974348,6.0900818798913,40.1284075720435,18.6517549408913,8.10772949943478,6.25256678530435,58.736512798913,6.05725570704348,52.440328243913,24.7090106479348,66.8442422983478
2013,32957.5,76,37232,1278.633,17.7099384602069,13.0611268266897,21.5537696952069,4.37858433117241,28.3109984274483,19.6743493498276,2.3724770587931,5.0180820332069,64.7633954658621,7.06061317762069,52.3248349821034,26.7349625274483,67.1358725246552
2014,33152.5,69,34599,1217.08,12.6585028308,23.004217157525,8.382808453325,10.3621910142,39.3375644931,27.4439733122,0.956499082875,2.348054567825,57.643640848,9.565742541075,44.04552844165,37.009715853275,58.600139930875
2015,33970,67,35273,1281.851,17.4550874059444,22.4240910365556,31.085740088,58.8504271381111,33.7216905784444,12.9937480662222,2.52300033238889,0.865940264722222,73.8360772596667,7.60270910905556,70.9649185305,20.5964571752778,76.3590775920556
2016,34270,63,34296,1251.119,5.76419733027273,16.1709963515455,10.9389214341818,14.4232865313636,75.0065311545455,22.5016600043636,1.62085564904545,3.27436810454545,53.6744575613636,14.9189348084545,32.874115116,37.4205948128182,55.2953132104091
