"Year","Community","County","Dealers1000","CommPermits1000","RecFshTrps1000","ThousandPounds","ThousandVal"
2010,"Hilo","Hawaii County",0.177147919,2.342289145,6.239543352,10.76317292,26.42001771
2010,"Honokaa-Kukuihaele","Hawaii County",0.221778665,2.661343979,0,2.177866489,3.130627634
2010,"Kau","Hawaii County",0.143905598,4.17326234,2.014678371,13.13671032,20.98158008
2010,"Keaau-Mountain View","Hawaii County",0.073901637,2.032295015,0.147803274,10.85278794,23.2619074
2010,"North Hilo","Hawaii County",0,2.109704641,1.582278481,7.218881857,14.85443038
2010,"North Kohala","Hawaii County",0.377145012,5.280030172,3.205732604,7.302658872,9.465962663
2010,"North Kona","Hawaii County",0.334835802,9.426915647,104.571796523,31.50009015,57.94351578
2010,"Paauhau-Paauilo","Hawaii County",0.82815735,5.383022774,0,4.887784679,7.492339545
2010,"Pahoa-Kalapana","Hawaii County",0,3.421816674,3.732890917,25.36094981,53.73444629
2010,"Papaikou-Wailea","Hawaii County",0,1.062134891,5.133651974,0.678173128,1.604177731
2010,"South Kohala","Hawaii County",0.281658405,3.943217666,9.801712483,6.009858044,10.13908292
2010,"South Kona","Hawaii County",0.314070352,8.37520938,2.931323283,20.952366,48.27952261
2010,"Ewa","Honolulu County",0.043699063,0.746005437,0.730398629,4.592824614,15.32647258
2010,"Honolulu","Honolulu County",0.057498001,0.763155281,4.827218508,36.0025665,122.4659978
2010,"Koolauloa","Honolulu County",0,1.171437303,1.833554039,4.995161455,13.30915758
2010,"Koolaupoko","Honolulu County",0.016937239,1.329573266,1.98165697,16.87745061,58.36363405
2010,"Wahiawa","Honolulu County",0.027230149,0.517372835,0,13.97916894,49.55742838
2010,"Waialua","Honolulu County",0,2.066431961,52.885351298,13.71490892,28.39583652
2010,"Waianae","Honolulu County",0.086054817,1.721096338,7.27163203,17.28122714,55.60619164
2010,"Kalawao","Kalawao County",NA,NA,0,NA,NA
2010,"Eleele-Kalaheo","Kauai County",0.118920205,3.091925318,51.254608162,6.295278868,9.594838863
2010,"Hanalei","Kauai County",0.561324726,4.630928992,17.541397699,6.714005052,7.87889419
2010,"Kapaa","Kauai County",0.247188234,7.168458781,24.47163515,23.02558398,30.71462118
2010,"Kaumakani-Hanapepe","Kauai County",0,3.901170351,0,25.10195059,29.50195059
2010,"Kekaha-Waimea","Kauai County",0.427441761,4.488138491,9.403718744,35.4513785,94.08142766
2010,"Koloa-Poipu","Kauai County",1.223776224,2.097902098,5.76923077,13.94020979,39.69143357
2010,"Lihue","Kauai County",1.224364861,5.203550658,120.293847595,42.47337006,123.3752678
2010,"Niihau","Kauai County",NA,NA,NA,NA,NA
2010,"Puhi-Hanamaulu","Kauai County",0.234466589,1.055099648,0.703399766,7.619460727,19.64759672
2010,"Wailua-Anahola","Kauai County",0.079833945,1.117675236,1.357177072,2.559396455,2.862525946
2010,"East Molokai","Maui County",0.407913522,3.263308179,40.791352226,5.399755252,17.24943912
2010,"Haiku-Pauwela","Maui County",0,2.931323283,1.465661642,6.139447236,15.85311977
2010,"Hana","Maui County",0.850701829,7.656316461,8.50701829,25.34963845,63.70097831
2010,"Kahului","Maui County",0.283263192,1.45678213,7.16251214,2.744253804,6.558068954
2010,"Kihei","Maui County",0.130061562,1.604092604,40.05896124,3.373580161,9.229558658
2010,"Kula","Maui County",0,2.801812938,6.839719819,7.758220025,13.27523692
2010,"Lahaina","Maui County",0.347895234,2.137070722,68.187465831,9.452909895,15.33373093
2010,"Lanai","Maui County",0.59970015,5.397301349,23.08845577,3.287856072,5.661469265
2010,"Makawao-Paia","Maui County",0.144724782,2.315596507,0.482415939,15.93936032,50.10970138
2010,"Puunene","Maui County",NA,NA,NA,NA,NA
2010,"Spreckelsville","Maui County",3.571428571,3.571428571,17.85714286,4.942857143,11.81071429
2010,"Waihee-Waikapu","Maui County",0.384541434,3.268602192,0,4.483560854,9.168621419
2010,"Wailuku","Maui County",0.23057413,1.660133733,0,2.223241872,4.546414572
2010,"West Molokai","Maui County",0.378644453,2.271866717,2.271866717,1.283226051,0.6561908368
2011,"Hilo","Hawaii County",0.143325143,2.334152334,5.364455364,10.48056921,26.37526618
2011,"Honokaa-Kukuihaele","Hawaii County",0,3.397027601,1.061571125,4.627388535,7.283864119
2011,"Kau","Hawaii County",0.284900285,3.988603989,3.703703703,15.48390313,30.6534188
2011,"Keaau-Mountain View","Hawaii County",0.03477898,2.017180816,0.139115918,12.34493792,31.96810768
2011,"North Hilo","Hawaii County",0,1.513622603,0,5.531281534,10.8259334
2011,"North Kohala","Hawaii County",0.352422907,3.524229075,1.057268722,5.654096916,9.615682819
2011,"North Kona","Hawaii County",0.373282899,8.983675095,106.086999804,39.10593769,65.02851881
2011,"Paauhau-Paauilo","Hawaii County",0.390320062,3.903200625,0,4.964480874,8.240046838
2011,"Pahoa-Kalapana","Hawaii County",0,3.816027315,3.313918457,23.3025708,61.12422173
2011,"Papaikou-Wailea","Hawaii County",0,0.713266762,2.674750357,0.2269971469,0.7141583452
2011,"South Kohala","Hawaii County",0.33827592,3.157241924,3.157241923,6.091503636,10.21610193
2011,"South Kona","Hawaii County",0.200642055,7.724719101,1.80577849,21.08246388,47.97120787
2011,"Ewa","Honolulu County",0.040092521,0.746337702,0.724749422,5.219176561,18.5549946
2011,"Honolulu","Honolulu County",0.051557288,0.793982233,4.232853334,37.7069226,136.2986069
2011,"Koolauloa","Honolulu County",0,1.158340048,1.20870266,4.817888799,14.49788477
2011,"Koolaupoko","Honolulu County",0.017394481,1.321980536,1.817723237,17.76378295,61.39728994
2011,"Wahiawa","Honolulu County",0.026801029,0.670025729,0,11.54041595,42.7188036
2011,"Waialua","Honolulu County",0,2.061540811,49.47697946,14.5437123,31.15957853
2011,"Waianae","Honolulu County",0.085333333,1.770666667,8.704,14.77186133,51.894912
2011,"Kalawao","Kalawao County",NA,NA,0,NA,NA
2011,"Eleele-Kalaheo","Kauai County",0.260044208,4.030685216,57.599791969,5.26576518,7.081133793
2011,"Hanalei","Kauai County",0.506008855,5.060088552,10.120177104,11.97874763,23.36268185
2011,"Kapaa","Kauai County",0.482916818,6.640106242,17.867922249,24.43812628,33.76155982
2011,"Kaumakani-Hanapepe","Kauai County",0,3.807106599,2.284263959,11.51954315,33.71852792
2011,"Kekaha-Waimea","Kauai County",0.400560785,5.407570599,14.019627475,31.78189465,57.84257961
2011,"Koloa-Poipu","Kauai County",1.208981002,2.590673575,7.426597582,11.45630397,31.78791019
2011,"Lihue","Kauai County",1.29795212,4.903374676,106.143640038,11.75108163,17.61018171
2011,"Niihau","Kauai County",NA,NA,NA,NA,NA
2011,"Puhi-Hanamaulu","Kauai County",0.234796901,0.821789152,0.821789152,1.715191359,2.529819206
2011,"Wailua-Anahola","Kauai County",0.081619327,0.897812602,1.958863859,2.446049625,3.337985635
2011,"East Molokai","Maui County",0.42185193,3.79666737,42.185192995,7.631301413,22.78358996
2011,"Haiku-Pauwela","Maui County",0.103896104,3.012987013,0.519480519,8.144311688,22.37132468
2011,"Hana","Maui County",0.995520159,7.964161274,9.457441514,22.65306122,50.22000996
2011,"Kahului","Maui County",0.317195987,1.625629436,2.894413385,2.680543991,5.21267991
2011,"Kihei","Maui County",0.169118891,1.691188906,35.853204801,3.278496533,10.42685608
