"","SITEVISITID","METHOD","OBS_YEAR","REGION","REGION_NAME","ISLAND","ANALYSIS_SCHEME","ANALYSIS_YEAR","SEC_NAME","SITE","DATE_","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","DEPTH","HARD_CORAL","MA","CCA","SAND","OTHER_BENTHIC","ComplexityValue","MEAN_SH","SD_SH_DIFF","MAX_HEIGHT","nCounts","nReps","FMP","PIS","RBC","RBP","RBR","RCO","RGR","RLP","ROF","RPA","RPB","RSP","SHR","UKU","TotFish"
"1",10000,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02391",2016-08-18 00:00:00,"Forereef","Mid",21.311209,-158.125831,7.3,1,2.5,0.5,1.5,94.5,NA,0.10375,0.0299373429638327,0.35,2,1,0,0,0.0811952865771319,1.28342546109304,1.2328724847637,0.0187106995051317,9.06018152671721,0,7.38289621013872,0.0241462959965301,0,0.147719232072342,0,0,19.2311471968638
"2",10001,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02460",2016-08-18 00:00:00,"Forereef","Deep",21.341493,-158.139885,22.55,11,0,7,20,62,NA,0.38,0.463890601881267,1.85,2,1,0,0,104.538820196589,3.37310738844584,0,0.0194481175912582,1.13489409179457,63.6531605671335,4.95457877953074,0,0.734847163315798,0.242984670377971,0,0,178.651840974779
"3",10002,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02418",2016-08-18 00:00:00,"Forereef","Shallow",21.36039,-158.133699,3.2,1.5,0.5,0.5,0,97.5,NA,0.1045,0.0345289733412391,0.6,2,1,0,0,0.00957608788483033,0,1.49311601130865,0.00668154817603593,5.34196217090982,0,3.27378325091862,0.0603657399913253,0.11841127766037,0.116284524670586,0,0,10.4201806115202
"4",10003,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02408",2016-08-18 00:00:00,"Forereef","Mid",21.415681,-158.18632,8.95,4,0,3,0.5,92.5,NA,0.235,0.310513833541347,1.5,2,1,0,0,0.405229103057103,0,0.181748383808652,0.103356785729107,22.7489518320618,1.65870935962046,8.77605653284548,0.0260859267155709,0.258469192925441,0.301851143002181,0,0,34.4604582597658
"5",10004,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02390",2016-08-18 00:00:00,"Forereef","Mid",21.428016,-158.195502,15.6,1.5,1,0,1.5,96,NA,0.107,0.0520289733412391,0.7,2,1,0,0,1.0278546395008,0.0221970748878385,0,0,0.133252609207815,0,1.62104847244089,0,0,0.409968541303121,0,0,3.21432133734047
"6",10009,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02461",2016-08-19 00:00:00,"Forereef","Deep",21.547161,-158.252005,25.55,1,1.5,0,20,77.5,NA,0.10125,0.0124373429638327,0.295,2,1,0,0,0.797801652879894,0.541445116398628,0,0,7.15123489735973,0.00758811797448134,4.40415185066807,0.040033843601062,0,5.18943320495112,0,0,18.131688683833
"7",10010,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02406",2016-08-19 00:00:00,"Forereef","Mid",21.501435,-158.236933,11.6,1,2.5,0.5,1,95,NA,0.1075,0.039680461360962,0.3,2,1,0,2.6441835438431,0.105490796570571,0,0,0.00668154817603593,0.00868186835795669,2.89881468833673,9.18507101295289,0,0,0.0588410626469167,0,0,14.9077645208842
"8",10011,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02416",2016-08-19 00:00:00,"Forereef","Shallow",21.46914,-158.219437,3.35,1.5,0.5,1,4.5,92.5,NA,0.16,0.120754129026734,0.55,2,1,0.116260582750177,0.824011469014052,0.095268350563515,0,0.356898404310881,0.105808595288111,7.88958394465689,0,1.63365213676949,0,0,0.0939497995269182,0,0,11.11543328288
"9",10012,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_SOUTH","OAH-02412",2016-08-19 00:00:00,"Forereef","Shallow",21.451023,-158.202334,4.85,2,1,0,2.5,94.5,NA,0.154,0.15020995066678,0.9,2,1,0,0,1.98606783787213,0,0.796194281947428,0.166166845501635,2.75762414021738,0,3.77255870249188,0,0,0.928815707294355,0,0,10.4074275153248
"10",10023,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_NORTH","OAH-02322",2016-08-20 00:00:00,"Forereef","Deep",21.621528,-158.10004,21.85,2,4,0,2.5,91.5,NA,0.10625,0.0272431183971292,0.25,2,1,0,0,0.169073250463598,0,0,0,0,0,1.47958148912284,0,0,0.00934388060562978,0,0,1.65799862019206
"11",10024,"nSPC",2016,"MHI","Main Hawaiian Islands","Oahu","RAMP_BASIC","2016","OAH_NORTH","OAH-02330",2016-08-20 00:00:00,"Forereef","Deep",21.680705,-158.056404,24.25,1,5,1,1.5,91.5,NA,0.105,0.0337607456003727,0.45,2,1,0,0,0.767285792696748,0,0,0,0.56874185166198,0.00734922282784465,3.5724527725409,0.054664764156204,0,0.30069619487299,0,0,5.27119059875667
